id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
31192,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2015.0,Casual,Cabarelli Men Accessory Gift Set
17375,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011.0,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack
25064,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015.0,Formal,Lino Perros Men Formal Brown Accessory Gift Set
25053,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015.0,Formal,Lino Perros Men Formal Brown Accessory Gift Set
17379,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011.0,Formal,Arrow Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack
42066,Unisex,Accessories,Accessories,Key chain,Black,Summer,2012.0,Casual,American Tourister Unisex Black Key Case
31184,Men,Accessories,Accessories,Accessory Gift Set,Black,Summer,2015.0,Casual,Cabarelli Men Accessory Gift Set
31206,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2012.0,Casual,Cabarelli Men Brown Accessory Gift Set
25051,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,2015.0,Formal,Lino Perros Men Formal Purple Accessory Gift Set
17366,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011.0,Formal,Arrow Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack
25059,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,2015.0,Formal,Lino Perros Men Formal Purple Accessory Gift Set
58600,Women,Accessories,Accessories,Hair Accessory,Pink,Winter,2016.0,Casual,ToniQ Women Pink Hair Accessories
19934,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011.0,Formal,Reid & Taylor Men Formal Blue  Tie+Cufflink+Pocket square - Combo Pack
58525,Unisex,Accessories,Accessories,Travel Accessory,Green,Summer,2010.0,Casual,Wildcraft Unisex Green Chalk Bag
25066,Men,Accessories,Accessories,Accessory Gift Set,Turquoise Blue,Winter,2015.0,Formal,Lino Perros Men Formal Turquoise Blue Accessory Gift Set
25068,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Winter,2015.0,Formal,Lino Perros Men Formal Maroon Accessory Gift Set
25076,Men,Accessories,Accessories,Accessory Gift Set,Black,Winter,2015.0,Formal,Lino Perros Men Formal Black Accessory Gift Set
51329,Unisex,Accessories,Accessories,Travel Accessory,Blue,Summer,2012.0,Casual,Wildcraft Unisex Blue & Black Pouch
15654,Unisex,Accessories,Accessories,Messenger Bag,Black,Fall,2011.0,Casual,Belkin Unisex Black Messenger Bag
25056,Men,Accessories,Accessories,Accessory Gift Set,Blue,Winter,2015.0,Formal,Lino Perros Men Formal Blue Accessory Gift Set
9572,Unisex,Accessories,Accessories,Travel Accessory,Black,Fall,2011.0,Casual,Puma Unisex Big Cat Shoe Bag Black Bags
